9.04214 Framedifference 2   Time 2
30.524591 Framedifference 4   Time 6
53.595646 Framedifference 5   Time 11
72.19345 Framedifference 4   Time 15
87.56142 Framedifference 4   Time 19
97.25099 Framedifference 6   Time 25
111.44072 Framedifference 3   Time 28
126.69379 Framedifference 4   Time 32
136.88802 Framedifference 5   Time 37
147.90823 Framedifference 4   Time 41
161.0611 Framedifference 3   Time 44
174.21967 Framedifference 4   Time 48
185.16551 Framedifference 3   Time 51
194.00748 Framedifference 4   Time 55
198.95079 Framedifference 4   Time 59
204.50192 Framedifference 4   Time 63
(time 63- lastadded -60)      true
Circle added
(time 63- lastadded -60)      true
Circle added
(time 63- lastadded -60)      true
Circle added
(time 63- lastadded -60)      true
Circle added
(time 63- lastadded -60)      true
Circle added
(time 63- lastadded -60)      true
Circle added
188.18655 Framedifference 24   Time 87
186.04771 Framedifference 6   Time 93
185.80972 Framedifference 5   Time 98
186.9902 Framedifference 5   Time 103
188.03268 Framedifference 5   Time 108
186.38014 Framedifference 7   Time 115
180.37512 Framedifference 8   Time 123
179.73195 Framedifference 5   Time 128
179.26065 Framedifference 6   Time 134
175.37573 Framedifference 7   Time 141
178.01923 Framedifference 5   Time 146
179.40697 Framedifference 5   Time 151
176.48279 Framedifference 7   Time 158
179.11932 Framedifference 5   Time 163
181.64183 Framedifference 5   Time 168
183.61398 Framedifference 5   Time 173
186.95396 Framedifference 4   Time 177
187.84563 Framedifference 6   Time 183
184.22214 Framedifference 7   Time 190
183.3364 Framedifference 5   Time 195
181.57782 Framedifference 6   Time 201
181.706 Framedifference 5   Time 206
182.02475 Framedifference 5   Time 211
180.86375 Framedifference 6   Time 217
177.82571 Framedifference 7   Time 224
177.48097 Framedifference 6   Time 230
179.05064 Framedifference 5   Time 235
176.63242 Framedifference 6   Time 241
175.35513 Framedifference 6   Time 247
175.27849 Framedifference 6   Time 253
171.97536 Framedifference 7   Time 260
170.83441 Framedifference 6   Time 266
170.29515 Framedifference 6   Time 272
170.35258 Framedifference 6   Time 278
169.88818 Framedifference 7   Time 285
166.62622 Framedifference 7   Time 292
168.30968 Framedifference 5   Time 297
169.16443 Framedifference 6   Time 303
168.18925 Framedifference 6   Time 309
167.60983 Framedifference 7   Time 316
162.03673 Framedifference 8   Time 324
161.67412 Framedifference 7   Time 331
157.3345 Framedifference 8   Time 339
156.21149 Framedifference 7   Time 346
155.873 Framedifference 6   Time 352
153.51376 Framedifference 8   Time 360
153.12541 Framedifference 7   Time 367
153.12488 Framedifference 6   Time 373
154.9865 Framedifference 6   Time 379
155.5102 Framedifference 6   Time 385
153.21822 Framedifference 8   Time 393
154.16498 Framedifference 6   Time 399
151.9159 Framedifference 7   Time 406
152.83919 Framedifference 7   Time 413
152.90158 Framedifference 6   Time 419
150.28253 Framedifference 8   Time 427
149.80594 Framedifference 7   Time 434
147.10297 Framedifference 8   Time 442
145.26929 Framedifference 8   Time 450
140.68471 Framedifference 10   Time 460
137.96007 Framedifference 9   Time 469
136.99457 Framedifference 8   Time 477
135.03969 Framedifference 9   Time 486
131.50064 Framedifference 9   Time 495
129.75002 Framedifference 10   Time 505
127.521225 Framedifference 9   Time 514
126.19957 Framedifference 9   Time 523
123.4646 Framedifference 10   Time 533
122.25911 Framedifference 9   Time 542
121.82208 Framedifference 8   Time 550
119.290886 Framedifference 10   Time 560
119.519806 Framedifference 9   Time 569
116.8147 Framedifference 11   Time 580
115.542114 Framedifference 9   Time 589
116.26321 Framedifference 8   Time 597
115.817726 Framedifference 9   Time 606
116.79261 Framedifference 8   Time 614
115.0086 Framedifference 10   Time 624
115.2354 Framedifference 8   Time 632
115.47235 Framedifference 9   Time 641
115.11459 Framedifference 9   Time 650
113.98326 Framedifference 10   Time 660
113.64641 Framedifference 9   Time 669
113.72999 Framedifference 8   Time 677
113.087555 Framedifference 10   Time 687
108.25263 Framedifference 15   Time 702
106.68125 Framedifference 11   Time 713
105.70364 Framedifference 10   Time 723
